,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Acris crepitans ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyla versicolor,0,0,0,0,0,0,32,0,0,0,0,0,0,0,43
Pseudacris crucifer ,21,0,34,0,12,13,0,43,43,0,32,43,0,54,0
Physa gyrina,13,0,0,0,0,0,32,0,0,0,0,0,0,0,0
Physa heterostropha,32,111,34,65,36,98,23,0,45,43,123,54,32,0,76
Helisoma trivolvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gyraulus parvus,78,0,54,56,0,176,0,98,0,54,0,231,0,43,12
Pseudosuccinea columella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acilius fraternus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agabus disintegrates ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copelatus chevrolati,43,0,0,0,6,0,231,0,0,0,0,0,54,0,0
Coptotomus venustus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydaticus piceus,0,0,0,32,0,121,0,0,321,0,98,0,0,0,121
Laccophilus maculosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laccophilus proximus,322,87,123,34,214,0,0,231,0,128,0,234,0,321,0
Matus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uvarus lacustris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peltodytes litoralis ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berosus pantherinus,0,43,0,8,0,0,23,0,0,0,12,0,0,0,34
Enochrus cinctus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrobiomorpha casta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrochara soror,0,0,0,12,0,0,0,0,12,65,0,0,54,0,4
Tropisternus collaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tropisternus lateralis,54,23,12,8,43,34,76,32,9,2,121,32,76,34,86
Anopheles quadrimaculatus,0,43,0,0,0,0,54,0,0,34,0,0,0,23,0
Chironomus crassicaudatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unidentified midge 1,32,56,0,0,0,0,65,0,0,56,0,23,0,0,0
Callibaetis ferrugineus,23,45,12,76,34,234,0,4,12,0,34,0,12,0,76
Hesperocorixia sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buenoa sp,3,54,12,8,23,21,0,12,65,12,3,0,5,0,41
Nontonecta irrorata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nontonecta undulata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neoplea plea,0,12,0,5,54,0,43,0,0,112,0,76,88,142,12
Limnophilus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belostoma flumineum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anax junius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erythemis simplicicollis ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libellula incesta ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libellula luctuosa ,0,34,0,0,0,54,0,0,0,0,45,0,0,12,0
Libellula pullchella ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pachydiplax longipennis ,0,0,0,0,0,0,0,0,0,0,0,0,56,9,0
Pantala flavescens,32,0,12,43,54,0,23,0,97,67,0,45,0,0,65
Plathemis lydia ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tramea lacerta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enallagma aspersum,7,0,0,45,0,0,0,65,0,0,0,0,8,0,0
Ischnura verticalis ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lestes forcipatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
