Plot,treatment,Carya cordiformis,Carya glabra,Carya ovata,Carya texana,Carya tomentosa,Cornus florida,Diospyros virginiana,Fraxinus americana,Juglans nigra,Prunus serotina,Quercus alba,Quercus marilandica,Quercus muehlenbergii,Quercus rubra,Quercus stellata,Quercus velutina,Sassafras albidum,Sideroxylon lanuginosum,Ulmus rubra
H1,burned,0,2,0,0,0,0,0,0,0,0,1,4,0,0,4,15,2,0,0
H10,burned,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
H11,burned,0,4,0,0,0,0,0,0,0,0,0,9,0,0,29,6,0,0,0
H12,burned,0,2,0,0,1,0,0,0,0,1,0,2,1,0,10,4,0,0,0
H13,burned,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,4,0,0,0
H14,burned,0,1,1,2,0,3,0,0,0,2,2,0,0,0,3,5,0,0,0
H6,burned,0,2,0,0,0,0,0,1,0,0,2,0,14,0,3,4,0,0,0
H7,burned,0,0,0,0,0,0,0,0,0,0,1,24,0,1,7,5,0,0,0
L50,burned,0,4,0,0,0,0,0,0,0,0,1,2,0,1,6,1,0,0,0
L47,burned,0,0,0,1,0,0,0,1,0,0,0,0,0,2,20,0,0,2,0
L48,burned,0,0,6,4,0,0,0,2,0,0,0,0,0,0,21,0,0,0,1
L49,burned,1,0,4,1,0,0,0,1,0,0,0,0,0,1,20,0,0,0,0
L56,burned,0,0,0,6,0,0,0,0,0,0,0,0,0,5,21,0,0,1,0
L57,burned,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0
L58,burned,1,0,0,0,1,0,0,0,0,0,0,0,1,0,11,1,0,1,0
L59,burned,0,0,0,2,0,0,0,2,0,0,0,0,0,8,5,0,0,1,4
L27,burned,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
L28,burned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0
L29,burned,0,0,0,1,1,0,0,0,0,0,0,0,0,0,19,1,0,0,0
L30,burned,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
L34,burned,0,0,0,0,10,7,0,0,0,0,1,0,0,0,7,5,0,0,0
L35,burned,0,0,0,0,2,10,0,0,0,0,10,0,3,1,0,0,1,0,2
L37,burned,3,0,0,0,0,17,0,2,1,0,10,0,0,0,0,0,0,0,3
L38,burned,0,0,0,0,4,14,1,0,0,0,3,0,0,0,3,9,0,0,0
