"","group","x","y"
"1","uninvaded",1,0
"2","uninvaded",2,0
"3","uninvaded",3,0
"4","uninvaded",4,0
"5","uninvaded",5,0
"6","uninvaded",6,0
"7","uninvaded",7,0
"8","uninvaded",8,0
"9","uninvaded",9,0
"10","uninvaded",10,0
"11","uninvaded",10,1
"12","uninvaded",9,1
"13","uninvaded",8,1
"14","uninvaded",7,1
"15","uninvaded",6,1
"16","uninvaded",5,1
"17","uninvaded",4,1
"18","uninvaded",3,1
"19","uninvaded",2,1
"20","uninvaded",1,1
"21","uninvaded",1,2
"22","uninvaded",2,2
"23","uninvaded",3,2
"24","uninvaded",4,2
"25","uninvaded",5,2
"26","uninvaded",6,2
"27","uninvaded",7,2
"28","uninvaded",8,2
"29","uninvaded",9,2
"30","uninvaded",10,2
"31","uninvaded",10,3
"32","uninvaded",9,3
"33","uninvaded",8,3
"34","uninvaded",7,3
"35","uninvaded",6,3
"36","uninvaded",5,3
"37","uninvaded",4,3
"38","uninvaded",3,3
"39","uninvaded",2,3
"40","uninvaded",1,3
"41","uninvaded",1,4
"42","uninvaded",2,4
"43","uninvaded",3,4
"44","uninvaded",4,4
"45","uninvaded",5,4
"46","uninvaded",6,4
"47","uninvaded",7,4
"48","uninvaded",8,4
"49","uninvaded",9,4
"50","uninvaded",10,4
"51","invaded",1,0
"52","invaded",2,0
"53","invaded",3,0
"54","invaded",4,0
"55","invaded",5,0
"56","invaded",6,0
"57","invaded",7,0
"58","invaded",8,0
"59","invaded",9,0
"60","invaded",10,0
"61","invaded",10,1
"62","invaded",9,1
"63","invaded",8,1
"64","invaded",7,1
"65","invaded",6,1
"66","invaded",5,1
"67","invaded",4,1
"68","invaded",3,1
"69","invaded",2,1
"70","invaded",1,1
"71","invaded",1,2
"72","invaded",2,2
"73","invaded",3,2
"74","invaded",4,2
"75","invaded",5,2
"76","invaded",6,2
"77","invaded",7,2
"78","invaded",8,2
"79","invaded",9,2
"80","invaded",10,2
"81","invaded",10,3
"82","invaded",9,3
"83","invaded",8,3
"84","invaded",7,3
"85","invaded",6,3
"86","invaded",5,3
"87","invaded",4,3
"88","invaded",3,3
"89","invaded",2,3
"90","invaded",1,3
"91","invaded",1,4
"92","invaded",2,4
"93","invaded",3,4
"94","invaded",4,4
"95","invaded",5,4
"96","invaded",6,4
"97","invaded",7,4
"98","invaded",8,4
"99","invaded",9,4
"100","invaded",10,4
